Ontology ID	OccO Label	Skills
OCCO:21101500	rehabilitation counselors	Active Listening|Social Perceptiveness|Speaking|Monitoring|Critical Thinking|Writing
OCCO:21102100	"child, family, and school social workers"	Speaking|Active Listening|Reading Comprehension|Social Perceptiveness|Service Orientation|Monitoring
OCCO:21102200	healthcare social workers	Active Listening|Speaking|Social Perceptiveness|Critical Thinking|Reading Comprehension|Coordination
OCCO:21102300	mental health and substance abuse social workers	Active Listening|Speaking|Social Perceptiveness|Reading Comprehension|Service Orientation|Monitoring
OCCO:21109200	probation officers and correctional treatment specialists	Speaking|Social Perceptiveness|Critical Thinking|Monitoring|Active Listening|Writing
OCCO:21109300	social and human service assistants	Speaking|Social Perceptiveness|Service Orientation|Active Listening|Writing|Reading Comprehension
OCCO:21109400	community health workers	Speaking|Social Perceptiveness|Active Listening|Writing|Service Orientation|Reading Comprehension
OCCO:21201100	clergy	Speaking|Active Listening|Social Perceptiveness|Service Orientation|Writing|Reading Comprehension
OCCO:21202100	"directors, religious activities and education"	Speaking|Social Perceptiveness|Reading Comprehension|Active Listening|Critical Thinking|Coordination
OCCO:23101100	lawyers	Speaking|Active Listening|Reading Comprehension|Critical Thinking|Judgment and Decision Making|Complex Problem Solving
OCCO:23101200	judicial law clerks	Reading Comprehension|Active Listening|Critical Thinking|Writing|Speaking|Active Learning
OCCO:23102100	"administrative law judges, adjudicators, and hearing officers"	Critical Thinking|Reading Comprehension|Writing|Judgment and Decision Making|Complex Problem Solving|Active Listening
OCCO:23102200	"arbitrators, mediators, and conciliators"	Negotiation|Active Listening|Speaking|Persuasion|Critical Thinking|Writing
OCCO:23102300	"judges, magistrate judges, and magistrates"	Critical Thinking|Active Listening|Judgment and Decision Making|Speaking|Reading Comprehension|Complex Problem Solving
OCCO:23201100	paralegals and legal assistants	Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Time Management
OCCO:23209300	"title examiners, abstractors, and searchers"	Speaking|Reading Comprehension|Critical Thinking|Active Listening|Time Management|Writing
OCCO:25101100	"business teachers, postsecondary"	Speaking|Reading Comprehension|Instructing|Writing|Learning Strategies|Critical Thinking
OCCO:25102100	"computer science teachers, postsecondary"	Speaking|Instructing|Writing|Reading Comprehension|Learning Strategies|Critical Thinking
OCCO:25102200	"mathematical science teachers, postsecondary"	Mathematics|Writing|Speaking|Reading Comprehension|Instructing|Critical Thinking
OCCO:25103100	"architecture teachers, postsecondary"	Instructing|Writing|Speaking|Reading Comprehension|Learning Strategies|Critical Thinking
OCCO:25103200	"engineering teachers, postsecondary"	Reading Comprehension|Writing|Instructing|Active Listening|Speaking|Learning Strategies
OCCO:25104100	"agricultural sciences teachers, postsecondary"	Instructing|Speaking|Reading Comprehension|Learning Strategies|Active Listening|Writing
OCCO:25104200	"biological science teachers, postsecondary"	Speaking|Writing|Reading Comprehension|Learning Strategies|Science|Instructing
OCCO:25104300	"forestry and conservation science teachers, postsecondary"	Speaking|Writing|Reading Comprehension|Instructing|Active Listening|Learning Strategies
OCCO:25105100	"atmospheric, earth, marine, and space sciences teachers, postsecondary"	Speaking|Reading Comprehension|Science|Instructing|Writing|Learning Strategies
OCCO:25105200	"chemistry teachers, postsecondary"	Speaking|Writing|Science|Reading Comprehension|Critical Thinking|Active Listening
OCCO:25105300	"environmental science teachers, postsecondary"	Writing|Speaking|Science|Reading Comprehension|Instructing|Monitoring
OCCO:25105400	"physics teachers, postsecondary"	Speaking|Reading Comprehension|Writing|Instructing|Active Learning|Science
